,runID,evtID,S2_area,S2_btm_area,S2_top_area,S2_TBA,S2_corrected_area,S2_XY_corrected_area,S2_width_ns,S2_peakAmp,S2_AFT_5,S2_AFT_10,S2_AFT_25,S2_AFT_50,S2_AFT_75,S2_AFT_90,S2_AFT_95,S2_rmsWidth_ns,S2_fwhm_ns,S2_x_cm,S2_y_cm,S2_xy_chiSq,S2_n_saturated,has_good_S1,drift_time,S1_area,S1_corrected_area,evt_total_area,evt_bad_area,evt_bad_e_area,evt_bad_ph_area,evt_bad_oth_area
3194,7016,34084,211.0,1011.7592163085938,2828.77880859375,0.47311586141586304,3926.65185546875,0.1330670267343521,3640.0,3.560840368270874,810.0,970.0,1240.0,1590.0,1900.0,2250.0,2520.0,396.0,1110.0,-15.26522445678711,6.2234578132629395,1.630376935005188,0.0,True,25340.0,88.50532531738281,92.36048889160156,4800.26604115963,871.207004904747,4523.683704376221,174.35719907283783,13.719812393188477
3291,6996,135048,166.0,583.699951171875,1734.86181640625,0.4964982569217682,2702.56201171875,0.09360242635011673,3620.0,2.2343080043792725,770.0,950.0,1300.0,1620.0,1970.0,2280.0,2470.0,406.0,1020.0,-39.716896057128906,32.574405670166016,1.2580548524856567,0.0,True,29040.0,56.65126419067383,60.81160354614258,2716.0999821722507,377.73009768128395,2496.8003368377686,191.3170876801014,8.381227850914001
3445,6996,136284,106.0,909.7611083984375,2680.865234375,0.49325770139694214,3902.13134765625,0.13633817434310913,4040.0,3.0799481868743896,1050.0,1250.0,1540.0,1880.0,2220.0,2540.0,2750.0,400.0,1100.0,-31.204776763916016,30.8795108795166,1.5043457746505737,0.0,True,27450.0,75.73501586914062,80.40409088134766,4073.8624324798584,407.6821041107178,3884.6693954467773,108.60158348083496,4.856437683105469
3697,7054,75811,64.0,177.22274780273438,532.1231689453125,0.5003206729888916,783.1412963867188,0.02752104587852955,3130.0,0.8435552716255188,940.0,1110.0,1400.0,1700.0,1980.0,2280.0,2450.0,357.0,810.0,-0.6050916314125061,-45.20100402832031,1.201002597808838,0.0,True,21880.0,19.36443519592285,20.620080947875977,880.770034968853,151.8249723315239,804.4381103515625,56.967489421367645,0.0
4055,6977,116213,204.0,687.3925170898438,2037.7152099609375,0.4955117106437683,3130.751953125,0.10990207642316818,3560.0,3.094719171524048,880.0,1060.0,1290.0,1550.0,1810.0,2060.0,2210.0,310.0,850.0,43.026302337646484,31.221820831298828,1.0002790689468384,0.0,True,12290.0,55.42341613769531,59.4788932800293,3106.8569932878017,325.90720996260643,2875.291275024414,175.1036327779293,1.0386693477630615
4856,6965,35251,92.0,875.2063598632812,2569.669921875,0.491879403591156,4006.81103515625,0.1443861424922943,3710.0,3.1843912601470947,810.0,960.0,1240.0,1560.0,1860.0,2150.0,2320.0,366.0,1040.0,50.38951873779297,-16.881389617919922,1.6321178674697876,0.0,True,20380.0,75.54415893554688,81.6874008178711,3785.517997831106,265.0419541299343,3559.553035736084,93.65083703398705,56.76996612548828
5052,6965,36670,213.0,486.2303161621094,1321.2059326171875,0.4619668126106262,1916.548095703125,0.06504341959953308,2660.0,3.3125107288360596,890.0,960.0,1090.0,1240.0,1420.0,1600.0,1730.0,197.0,470.0,12.14411735534668,40.78341293334961,0.9178524613380432,0.0,True,4050.0,42.61136245727539,45.50931167602539,2154.55635035038,304.24418222904205,1925.3905563354492,179.7648901939392,6.7895413637161255
5943,7026,58591,515.0,917.4529418945312,2772.141357421875,0.5026808977127075,4040.990966796875,0.13859671354293823,4000.0,3.5069315433502197,1020.0,1170.0,1460.0,1780.0,2100.0,2440.0,2650.0,385.0,940.0,24.98210334777832,38.08644104003906,1.1723989248275757,0.0,True,23600.001953125,87.19036865234375,92.1522445678711,4413.367823392153,636.692591458559,3857.436824798584,436.53786447644234,32.202765464782715
6693,7050,67304,104.0,686.696044921875,2070.2236328125,0.501838207244873,3194.206298828125,0.11449053138494492,3150.0,3.5106844902038574,860.0,980.0,1210.0,1440.0,1680.0,1910.0,2040.0,281.0,710.0,31.681289672851562,-26.281171798706055,1.5504944324493408,0.0,True,9850.0,52.87032699584961,56.82671356201172,3375.082864880562,565.2828503847122,3238.2103881835938,84.00214970111847,0.0
6975,6945,134428,219.0,1310.2318115234375,3877.7568359375,0.4948979318141937,5556.31787109375,0.19301927089691162,4330.0,3.6254196166992188,830.0,1000.0,1300.0,1690.0,2100.0,2460.0,2700.0,456.0,1340.0,-5.623345375061035,36.00137710571289,1.3626642227172852,0.0,True,22240.0,94.23435974121094,99.57232666015625,5894.836793094873,612.6063396036625,5583.6815185546875,201.40747705101967,15.513437747955322
8417,6966,101254,101.0,447.87042236328125,761.7903442382812,0.25951069593429565,1193.6983642578125,0.029911519959568977,4300.0,0.9593720436096191,450.0,610.0,1350.0,1890.0,2350.0,2740.0,2990.0,621.0,2180.0,0.36873218417167664,-9.322474479675293,10.18774127960205,0.0,True,1740.0,43498.1640625,45228.8359375,44872.091655910015,164.3689996600151,1271.359375,81.0916559100151,21.4765625
8998,6940,16005,123.0,1301.764404296875,3816.27880859375,0.4913038909435272,5264.572265625,0.1863717883825302,2340.0,7.209482669830322,540.0,620.0,800.0,1010.0,1210.0,1400.0,1520.0,241.0,720.0,-19.494216918945312,-26.631637573242188,1.5281128883361816,0.0,True,2090.0,137.51727294921875,143.55859375,5899.307540953159,643.6789398789406,5634.822383880615,126.96788412332535,0.0
10720,7019,17284,89.0,645.76904296875,2040.9249267578125,0.5192835330963135,2858.90087890625,0.09974164515733719,3660.0,2.4555416107177734,950.0,1160.0,1460.0,1800.0,2140.0,2450.0,2650.0,397.0,1080.0,-26.349796295166016,-37.303314208984375,1.3160905838012695,0.0,True,27610.0,67.52265930175781,71.48316192626953,3062.3688341379166,307.95750296115875,2873.0114936828613,98.81732428073883,23.017356872558594
11085,6979,117709,245.0,1213.3092041015625,3687.736572265625,0.5048773884773254,5257.12841796875,0.18433836102485657,4000.0,3.898040771484375,1030.0,1230.0,1540.0,1890.0,2260.0,2610.0,2810.0,424.0,1180.0,-45.138858795166016,4.811445713043213,1.6369400024414062,0.0,True,27279.998046875,141.1514434814453,150.6481170654297,5643.815263479948,601.6354996860027,5284.680082321167,209.34167072176933,8.642066955566406
12360,6993,33265,107.0,1544.798095703125,3633.093505859375,0.40331000089645386,5561.8974609375,0.16710805892944336,2100.0,6.695338726043701,380.0,450.0,600.0,820.0,1020.0,1170.0,1260.0,233.0,820.0,18.852746963500977,39.50428009033203,15.717662811279297,0.0,True,1330.0,8.000123023986816,8.481757164001465,5733.419813901186,547.5520150959492,5625.305633544922,84.1169870197773,15.9970703125
15408,6998,25915,117.0,626.3248291015625,1809.972412109375,0.48583871126174927,2776.944091796875,0.09854312986135483,3500.0,2.390655755996704,910.0,1050.0,1300.0,1610.0,1930.0,2230.0,2430.0,366.0,990.0,34.9061279296875,-23.54520034790039,1.2945210933685303,0.0,True,23680.0,96.43879699707031,103.96347045898438,2687.674179315567,154.6428530216217,2483.7181816101074,107.51720070838928,0.0
17266,6993,85905,105.0,361.3645324707031,1013.903564453125,0.47448137402534485,1510.26416015625,0.05248995125293732,2470.0,2.162415027618408,720.0,820.0,970.0,1160.0,1370.0,1550.0,1650.0,228.0,710.0,0.9447062611579895,43.568817138671875,1.355904221534729,0.0,True,5740.0,20.19012451171875,21.464359283447266,1540.207020998001,144.79192090034485,1431.7414627075195,86.74162030220032,1.5338134765625
17532,6984,28180,153.0,860.22509765625,2676.37646484375,0.5135300755500793,3914.196533203125,0.1395692378282547,3710.0,3.260333776473999,1040.0,1290.0,1640.0,1960.0,2320.0,2690.0,2930.0,423.0,960.0,-30.626134872436523,42.55633544921875,1.6858447790145874,0.0,True,26620.0,79.78687286376953,85.42605590820312,4222.10841652751,605.5651960074902,4017.751075744629,124.57046791911125,0.0
17559,6984,28408,140.0,910.5421752929688,2479.689208984375,0.4628436267375946,3497.195068359375,0.12192267924547195,4290.0,3.2074012756347656,1200.0,1380.0,1660.0,1950.0,2260.0,2560.0,2720.0,361.0,990.0,-20.788217544555664,-13.013792037963867,1.392253041267395,0.0,True,21200.001953125,74.65885925292969,78.43379211425781,3843.174173951149,377.9799143075943,3644.236701965332,120.01497387886047,4.263638854026794
