,runID,evtID,S2_area,S2_btm_area,S2_top_area,S2_TBA,S2_corrected_area,S2_XY_corrected_area,S2_width_ns,S2_peakAmp,S2_AFT_5,S2_AFT_10,S2_AFT_25,S2_AFT_50,S2_AFT_75,S2_AFT_90,S2_AFT_95,S2_rmsWidth_ns,S2_fwhm_ns,S2_x_cm,S2_y_cm,S2_xy_chiSq,S2_n_saturated,has_good_S1,drift_time,S1_area,S1_corrected_area,evt_total_area,evt_bad_area,evt_bad_e_area,evt_bad_ph_area,evt_bad_oth_area
7053,8137,3984,115.0,1261.23095703125,4017.078369140625,0.5221079587936401,5393.6328125,0.19030940532684326,5650.0,3.301276206970215,1470.0,1770.0,2190.0,2650.0,3140.0,3620.0,3950.0,572.0,1590.0,-11.772875785827637,20.397560119628906,1.4621847867965698,0.0,True,54340.0,94.12236022949219,99.13357543945312,5909.143961399794,537.3145699203014,5697.427173614502,104.23377081751823,13.36065673828125
7194,8135,85241,385.0,691.6234130859375,2281.466064453125,0.5347443222999573,3536.8076171875,0.12841545045375824,4100.0,1.9305555820465088,920.0,1230.0,1630.0,2150.0,2620.0,3060.0,3330.0,570.0,1520.0,-13.8286714553833,51.20577621459961,1.480790138244629,0.0,True,54150.0,47.021671295166016,51.29511260986328,3683.7649635970592,664.1688294112682,3284.331024169922,338.10538908839226,14.306879043579102
7247,8135,85776,245.0,1077.1226806640625,3180.276123046875,0.4939996004104614,4482.6474609375,0.15912006795406342,4710.0,2.6722922325134277,1290.0,1500.0,1940.0,2400.0,2890.0,3350.0,3620.0,571.0,1700.0,-9.278730392456055,-37.8061408996582,1.702772617340088,0.0,True,51170.0,70.01206970214844,72.20188903808594,4877.364750087261,592.4093381762505,4568.2434005737305,264.99797117710114,16.724607050418854
7310,8135,86227,330.0,351.3674621582031,1129.623779296875,0.5254969596862793,1576.9501953125,0.05539746955037117,4470.0,1.048403263092041,1150.0,1410.0,1790.0,2230.0,2720.0,3170.0,3390.0,547.0,1430.0,-21.244232177734375,33.188743591308594,1.292869210243225,0.0,True,54140.0,29.668668746948242,31.682056427001953,1960.752041131258,450.24157550930977,1586.9903297424316,331.3652657568455,12.727776885032654
7860,8142,81210,154.0,1301.9840087890625,3844.9501953125,0.4940739870071411,5490.73486328125,0.191790372133255,4800.0,3.286036252975464,1610.0,1870.0,2300.0,2770.0,3270.0,3730.0,3970.0,574.0,1590.0,29.264253616333008,17.925411224365234,1.570192575454712,0.0,True,54820.0,148.6886749267578,159.4501190185547,5864.153717011213,568.8859405219555,5564.817546844482,122.73682472109795,27.910670518875122
8300,8136,8003,206.0,1602.0804443359375,4303.99169921875,0.45748019218444824,6455.255859375,0.22863054275512695,5010.0,3.4087305068969727,1180.0,1490.0,1950.0,2450.0,3000.0,3490.0,3780.0,614.0,1720.0,13.277057647705078,3.1120402812957764,1.4223060607910156,0.0,True,51530.0,102.02608489990234,109.33255767822266,6604.879439324141,596.7381200492382,6314.095756530762,173.79720136523247,14.960396528244019
8447,8136,9210,339.0,3199.11279296875,9444.4912109375,0.4939555823802948,13302.216796875,0.46803468465805054,6220.0,6.348797798156738,1610.0,1880.0,2340.0,2880.0,3480.0,4130.0,4520.0,690.0,1850.0,-33.711063385009766,-4.66774845123291,2.0578386783599854,0.0,True,53320.0,303.4391174316406,323.9484558105469,14052.284963101149,1105.032369107008,13393.024410247803,273.533514469862,82.28792095184326
8812,8130,30030,203.0,720.645263671875,2203.595458984375,0.5071231722831726,3357.016845703125,0.12502916157245636,5970.0,1.4429863691329956,1790.0,2100.0,2640.0,3320.0,4060.0,4850.0,5150.0,839.0,2670.0,32.81416320800781,-22.802268981933594,1.4261857271194458,0.0,True,52490.0,117.49168395996094,129.445556640625,3463.6512303948402,421.8699956536293,3170.219036102295,169.91754966974258,6.022960662841797
8963,8130,32217,84.0,63.825096130371094,146.1717987060547,0.392132967710495,221.2649688720703,0.007561646867543459,3630.0,0.2171369194984436,210.0,790.0,1360.0,1900.0,2400.0,2870.0,3090.0,664.0,1440.0,7.32589864730835,12.081421852111816,1.5912342071533203,0.0,True,58740.00390625,25.092008590698242,26.65459632873535,366.54044938087463,131.31510949134827,265.7799530029297,71.55529808998108,4.113189697265625
9527,8159,4594,235.0,277.90545654296875,813.7518920898438,0.490855872631073,1152.4696044921875,0.04103640466928482,4600.0,0.8948782086372375,910.0,1150.0,1550.0,2000.0,2420.0,2880.0,3120.0,521.0,1190.0,-28.577980041503906,3.9719183444976807,1.649662971496582,0.0,True,54739.99609375,18.83730697631836,19.992341995239258,1369.7203928232193,259.01663076877594,1142.2480087280273,208.6350771188736,0.0
9888,8163,115832,139.0,1538.7989501953125,4931.57861328125,0.5243557691574097,6738.0009765625,0.24156218767166138,5350.0,3.4550297260284424,1450.0,1680.0,2100.0,2630.0,3180.0,3720.0,4060.0,629.0,1900.0,-18.6258544921875,28.170372009277344,1.7889114618301392,0.0,True,54780.0,123.03703308105469,130.6474609375,7275.7537940740585,682.1869758367538,7008.343605041504,110.41401070356369,33.95914524793625
10218,8137,143708,154.0,1002.4285278320312,2918.712158203125,0.48870566487312317,4074.44140625,0.14217370748519897,4760.0,2.4487128257751465,1200.0,1410.0,1850.0,2330.0,2830.0,3300.0,3560.0,576.0,1720.0,7.260986804962158,19.768325805664062,1.641081690788269,0.0,True,54480.00390625,50.154422760009766,53.18868637084961,4381.427710533142,410.3086881637573,4187.365165710449,127.91261112689972,15.995510935783386
10258,8137,144024,510.0,713.284912109375,2375.31982421875,0.5381183624267578,3456.0087890625,0.1275217980146408,5070.0,2.0301170349121094,1270.0,1530.0,1950.0,2440.0,2920.0,3340.0,3530.0,559.0,1630.0,-28.399812698364258,44.35325241088867,1.42710542678833,0.0,True,52880.0,45.633750915527344,49.59349060058594,4188.068083673716,1053.7326726019382,3680.2466926574707,448.87520614266396,13.312433958053589
10596,8154,92030,243.0,123.3979721069336,370.9909973144531,0.5008060932159424,612.8655395507812,0.02331947349011898,7460.0,0.2860630452632904,560.0,880.0,1780.0,2710.0,3630.0,4800.0,5410.0,1190.0,3180.0,12.522130012512207,-51.332122802734375,1.5515540838241577,0.0,True,57490.0,20.100542068481445,22.193574905395508,769.4927046522498,254.88383128494024,536.9300537109375,209.8195840716362,2.642524801194668
10788,8163,148884,95.0,195.85699462890625,465.0198974609375,0.40728145837783813,770.6564331054688,0.026581818237900734,4290.0,0.535523533821106,970.0,1210.0,1620.0,2010.0,2450.0,2920.0,3180.0,522.0,1280.0,25.70504379272461,-17.324705123901367,1.2892979383468628,0.0,True,55099.99609375,33.383880615234375,36.817466735839844,851.186904579401,157.0419766008854,733.6576652526855,82.6098362505436,1.5355224609375
10931,8156,60205,171.0,971.6322021484375,3025.9560546875,0.5138907432556152,4512.083984375,0.1583544760942459,4320.0,2.6630969047546387,1240.0,1480.0,1860.0,2280.0,2720.0,3110.0,3360.0,506.0,1580.0,-10.40846061706543,45.32429122924805,1.3102939128875732,0.0,True,50370.0,120.00018310546875,128.9707794189453,4504.286057263613,386.918442517519,4208.537040710449,147.73669508099556,28.01213836669922
11106,8156,62115,120.0,352.2368469238281,1000.3980712890625,0.47918418049812317,1376.97021484375,0.04774915426969528,5200.0,1.0565574169158936,1180.0,1430.0,1790.0,2220.0,2670.0,3150.0,3500.0,532.0,1340.0,7.899625301361084,-14.767338752746582,1.1141835451126099,0.0,True,51190.0,77.38048553466797,81.79632568359375,1809.4307026565075,379.2926487624645,1632.6835708618164,99.36664626002312,0.0
11365,8156,86789,170.0,1488.8895263671875,3711.173095703125,0.42735710740089417,5945.943359375,0.20782680809497833,5290.0,3.0283963680267334,1170.0,1460.0,1910.0,2430.0,3000.0,3510.0,3950.0,634.0,1670.0,24.391088485717773,0.772508442401886,1.6057382822036743,0.0,True,50119.99609375,146.86390686035156,158.60023498535156,6182.44834330678,835.4135380089283,5853.754535675049,163.74695399403572,18.08294677734375
11524,8143,15681,173.0,1047.1494140625,2968.063720703125,0.4784090518951416,4073.108154296875,0.14009590446949005,5150.0,2.7131731510162354,960.0,1210.0,1590.0,2080.0,2570.0,3010.0,3220.0,556.0,1520.0,7.510881423950195,-9.522505760192871,1.3954566717147827,0.0,True,56410.0,133.25726318359375,141.58535766601562,4645.222049772739,496.73822408914566,4308.736331939697,160.03033596277237,43.198118686676025
11546,8143,15838,184.0,995.014892578125,3016.867431640625,0.5039660334587097,4136.31884765625,0.14769522845745087,5020.0,2.5259604454040527,1480.0,1750.0,2200.0,2670.0,3160.0,3630.0,4030.0,574.0,1630.0,3.901268482208252,16.422134399414062,1.3881129026412964,0.0,True,55290.0,64.41877746582031,68.37390899658203,4689.590385168791,613.3141858279705,4460.132514953613,156.9346508681774,8.10444188117981
11569,8143,16001,139.0,1246.68798828125,3907.7421875,0.5162654519081116,5638.529296875,0.19932924211025238,5050.0,3.3392624855041504,1460.0,1730.0,2190.0,2710.0,3210.0,3690.0,4000.0,602.0,1570.0,11.195980072021484,44.33037185668945,1.4097861051559448,0.0,True,55220.0,126.16991424560547,136.82275390625,5917.466422170401,636.7916251122952,5643.082099914551,98.93298348784447,49.2814245223999
11938,8149,59114,306.0,144.61228942871094,455.09185791015625,0.5177211761474609,667.1710815429688,0.023313961923122406,5190.0,0.6170024871826172,950.0,1320.0,1690.0,2100.0,2570.0,3170.0,3520.0,568.0,990.0,-37.015750885009766,-25.705089569091797,1.4744828939437866,0.0,True,55330.0,4.973810195922852,5.332061290740967,981.9719612002373,377.2674991488457,719.1229476928711,252.19338583946228,5.681817471981049
12020,8149,59756,121.0,190.97470092773438,608.7387084960938,0.5223921537399292,889.2554321289062,0.03168940171599388,4420.0,0.6971092820167542,1020.0,1260.0,1740.0,2200.0,2630.0,3030.0,3400.0,547.0,1230.0,50.99276351928711,-5.498154640197754,0.9008060097694397,0.0,True,53870.0,24.182575225830078,26.269338607788086,924.6061291098595,100.85128825902939,799.572265625,100.85128825902939,0.0
12599,8149,147128,160.0,461.7596740722656,1321.4588623046875,0.4821053743362427,1861.026611328125,0.06259969621896744,4610.0,1.3689932823181152,1150.0,1360.0,1790.0,2220.0,2680.0,3120.0,3500.0,538.0,1350.0,14.752388000488281,17.130573272705078,1.320556879043579,0.0,True,53090.0,55.62251663208008,59.00447082519531,2187.6015041470528,348.8206623196602,1961.151107788086,168.68196707963943,2.1459126472473145
13137,8150,71,172.0,866.7031860351562,2719.308837890625,0.5166200399398804,3854.941650390625,0.13551698625087738,7710.0,1.352344036102295,1220.0,1570.0,2580.0,3750.0,4720.0,5450.0,5860.0,1214.0,3100.0,-6.025958061218262,37.26975631713867,1.4937461614608765,0.0,True,51810.00390625,90.467529296875,96.84711456298828,4189.899381667376,513.6437664330006,3945.4993476867676,138.3931703865528,15.539334297180176
13616,8172,97025,526.0,1255.767822265625,3698.42138671875,0.4930480718612671,5226.1904296875,0.1841515302658081,6800.0,2.1070034503936768,1980.0,2320.0,2930.0,3660.0,4520.0,5300.0,5690.0,922.0,2650.0,24.884326934814453,26.98578643798828,1.5607972145080566,0.0,True,52550.0,86.41900634765625,92.93781280517578,5814.454033583403,773.8421561419964,5246.82576751709,461.98153564333916,19.227724075317383
14105,8155,113920,240.0,2567.355712890625,8362.9306640625,0.5302308797836304,12070.6728515625,0.4313095808029175,6570.0,5.196537017822266,1470.0,1770.0,2230.0,2850.0,3550.0,4300.0,4670.0,782.0,1960.0,-33.4788703918457,35.694480895996094,1.6877014636993408,0.0,True,51420.0,278.5540771484375,301.169677734375,12069.77769958973,861.1093646287918,11496.680400848389,218.13733780384064,76.4058837890625
